datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mean,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,band_ax,band_ay,band_az,opacity_median,opacity_std
2017-08-21 12:41:36,1503319295634,7swyk,0,quest,33.333333333333336,,0.0,20.386666615804067,-1,-1,-1,-1,-1,-1,-1,-0.05818686666666667,0.44132499999999997,0.48616533333333334,-1.0,-1.0
2017-08-21 12:41:37,1503319296490,7swyk,0,quest,66.66666666666667,,0.03871466666666667,30.5799999237061,-1,-1,-1,-1,-1,-1,-1,-0.08715823333333333,0.6637369999999999,0.7277833333333333,-1.0,-1.0
2017-08-21 12:41:38,1503319297476,7swyk,0,quest,100.0,0.6700281666770195,0.298656,30.5799999237061,-1,-1,-1,-1,-1,-1,-1,-0.08992516666666667,0.6726073333333332,0.7208661666666667,-1.0,-1.0
2017-08-21 12:41:39,1503319298482,7swyk,0,quest,100.0,0.6793717994508071,0.3926773333333333,30.5799999237061,-1,-1,-1,-1,-1,-1,-1,0.1847738,0.6448566666666665,0.6179201666666668,-1.0,-1.0
2017-08-21 12:41:40,1503319299489,7swyk,0,quest,100.0,0.6858808453265625,0.6692106666666667,30.5799999237061,-1,-1,-1,-1,-1,-1,-1,0.5319416666666666,0.5176594999999998,0.3938803000000002,-1.0,-1.0
2017-08-21 12:41:41,1503319300476,7swyk,0,quest,100.0,0.6664706719694516,0.5585973333333333,30.5799999237061,-1,-1,-1,-1,-1,-1,-1,0.5750732000000001,0.4035644999999999,0.46362313333333355,-1.0,-1.0
2017-08-21 12:41:42,1503319301473,7swyk,0,quest,100.0,0.6590542859280172,0.7577013333333333,30.5799999237061,-1,-1,-1,-1,-1,-1,-1,0.3341470266666668,0.33577483333333324,0.6278484666666669,-1.0,-1.0
2017-08-21 12:41:43,1503319302481,7swyk,0,quest,100.0,0.6635170096889866,0.8185386666666666,30.5799999237061,-1,-1,-1,-1,-1,-1,-1,0.014567063333333463,0.3851318333333332,0.9043783333333336,-1.0,-1.0
2017-08-21 12:41:44,1503319303494,7swyk,0,quest,100.0,0.6683527261771869,0.9623360000000001,30.5799999237061,-1,-1,-1,-1,-1,-1,-1,0.0024820950000001307,0.43591316666666646,0.8812663333333335,-1.0,-1.0
2017-08-21 12:41:45,1503319304492,7swyk,0,quest,100.0,0.6619613004491127,0.9014986666666668,30.5799999237061,-1,-1,-1,-1,-1,-1,-1,-0.004353831666666536,0.48514816666666644,0.8553060000000001,-1.0,-1.0
2017-08-21 12:41:46,1503319305496,7swyk,0,quest,100.0,0.651195912974365,0.8572533333333334,30.5799999237061,-1,-1,-1,-1,-1,-1,-1,-0.00016275166666653595,0.5166016666666664,0.8385416666666669,-1.0,-1.0
2017-08-21 12:41:47,1503319306490,7swyk,0,quest,100.0,0.6436136198193222,0.8185386666666666,30.5799999237061,-1,-1,-1,-1,-1,-1,-1,0.0037435000000001304,0.5291748333333331,0.8306070000000002,-1.0,-1.0
2017-08-21 12:41:48,1503319307496,7swyk,0,quest,100.0,0.6371786345294246,0.779824,30.5799999237061,-1,-1,-1,-1,-1,-1,-1,-0.02050779999999987,0.5324298333333332,0.8279213333333336,-1.0,-1.0
2017-08-21 12:41:49,1503319308494,7swyk,0,quest,100.0,0.6321402684998311,0.6858026666666666,30.623332977294968,-1,-1,-1,-1,-1,-1,-1,-0.06343574999999987,0.5413818333333332,0.8202310000000003,-1.0,-1.0
2017-08-21 12:41:50,1503319309500,7swyk,0,quest,100.0,0.6320047777197076,0.7632319999999999,30.666666030883835,-1,-1,-1,-1,-1,-1,-1,-0.08430976666666655,0.5526529999999998,0.8128660000000002,-1.0,-1.0
2017-08-21 12:41:51,1503319310497,7swyk,0,quest,100.0,0.6430510096961722,0.7300479999999999,30.709999084472702,-1,-1,-1,-1,-1,-1,-1,-0.06705716666666656,0.5591636666666665,0.8094480000000003,-1.0,-1.0
2017-08-21 12:41:52,1503319311488,7swyk,0,quest,100.0,0.6527997583550328,0.6913333333333332,30.709999084472702,-1,-1,-1,-1,-1,-1,-1,-0.037190733333333226,0.5604656666666665,0.8106280000000003,-1.0,-1.0
2017-08-21 12:41:53,1503319312483,7swyk,0,quest,100.0,0.6556818258019986,0.5254133333333333,30.709999084472702,-1,-1,-1,-1,-1,-1,-1,-0.03068033333333323,0.5594889999999998,0.8118895000000004,-1.0,-1.0
2017-08-21 12:41:54,1503319313489,7swyk,0,quest,100.0,0.6473266131405944,0.5475359999999999,30.709999084472702,-1,-1,-1,-1,-1,-1,-1,-0.027018233333333235,0.5568846666666666,0.8135171666666668,-1.0,-1.0
2017-08-21 12:41:55,1503319314497,7swyk,0,quest,100.66666666666667,0.6406394195760151,0.5475359999999999,30.709999084472702,-1,-1,-1,-1,-1,-1,-1,-0.023315433333333233,0.5555826666666667,0.8142495000000002,-1.0,-1.0
