datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mean,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,band_ax,band_ay,band_az,opacity_median,opacity_std
2017-09-08 13:46:06,1504878365590,bd47a,0,quest,44.0,,0.7079253333333334,19.433333079020198,-1,-1,-1,-1,-1,-1,-1,0.2697348333333333,0.6420896666666667,0.718465,-1.0,-1.0
2017-09-08 13:46:07,1504878366512,bd47a,0,quest,66.0,9.276903005630734,1.0452960000000002,29.1499996185303,-1,-1,-1,-1,-1,-1,-1,0.2719726666666667,0.6470539999999999,0.7152506666666666,-1.0,-1.0
2017-09-08 13:46:08,1504878367498,bd47a,0,quest,66.0,8.274396739966571,1.028704,29.1499996185303,-1,-1,-1,-1,-1,-1,-1,0.27368166666666677,0.650065,0.7122803333333333,-1.0,-1.0
2017-09-08 13:46:09,1504878368497,bd47a,0,quest,66.0,7.5803589582848305,1.0121120000000001,29.1499996185303,-1,-1,-1,-1,-1,-1,-1,0.2742513333333334,0.6535643333333333,0.7087403333333334,-1.0,-1.0
2017-09-08 13:46:10,1504878369512,bd47a,0,quest,66.0,7.107468323338213,0.9955200000000003,29.1499996185303,-1,-1,-1,-1,-1,-1,-1,0.27482100000000004,0.6527503333333333,0.7090656666666667,-1.0,-1.0
2017-09-08 13:46:11,1504878370508,bd47a,0,quest,66.0,6.765704823679976,0.9844586666666669,29.1499996185303,-1,-1,-1,-1,-1,-1,-1,0.27417,0.6535643333333333,0.7084553333333333,-1.0,-1.0
2017-09-08 13:46:12,1504878371509,bd47a,1,n2,66.0,6.498074688526759,0.9789280000000001,29.1499996185303,-1,-1,-1,-1,-1,-1,-1,0.27384433333333336,0.6539713333333333,0.7081706666666667,-1.0,-1.0
2017-09-08 13:46:13,1504878372500,bd47a,1,n2,66.0,6.293458548405627,0.9899893333333334,29.1499996185303,-1,-1,-1,-1,-1,-1,-1,0.2731933333333334,0.6547853333333333,0.7079266666666667,-1.0,-1.0
2017-09-08 13:46:14,1504878373499,bd47a,1,n2,66.0,6.101342971674665,0.9955200000000001,29.1499996185303,-1,-1,-1,-1,-1,-1,-1,0.27294933333333343,0.6552733333333333,0.707601,-1.0,-1.0
2017-09-08 13:46:15,1504878374495,bd47a,1,n2,66.0,5.931689186577539,1.0010506666666668,29.1499996185303,-1,-1,-1,-1,-1,-1,-1,0.2728680000000001,0.655843,0.7075193333333334,-1.0,-1.0
2017-09-08 13:46:16,1504878375488,bd47a,1,n2,66.0,5.761366254297936,0.9844586666666667,29.1499996185303,-1,-1,-1,-1,-1,-1,-1,0.27282733333333337,0.6561683333333332,0.7071936666666668,-1.0,-1.0
2017-09-08 13:46:17,1504878376486,bd47a,1,n2,64.33333333333333,5.610473291299047,1.0010506666666668,29.1499996185303,-1,-1,-1,-1,-1,-1,-1,0.272583,0.6567379999999999,0.7070310000000001,-1.0,-1.0
2017-09-08 13:46:18,1504878377499,bd47a,1,n2,62.333333333333336,5.456740663086034,1.0010506666666668,29.1499996185303,-1,-1,-1,-1,-1,-1,-1,0.27266433333333334,0.6573076666666666,0.7068683333333334,-1.0,-1.0
2017-09-08 13:46:19,1504878378506,bd47a,1,n2,60.333333333333336,5.339743968242662,1.0176426666666667,29.1499996185303,-1,-1,-1,-1,-1,-1,-1,0.27254233333333333,0.657552,0.7065430000000003,-1.0,-1.0
2017-09-08 13:46:20,1504878379507,bd47a,1,n2,60.0,5.227652052872059,1.0176426666666665,29.1499996185303,-1,-1,-1,-1,-1,-1,-1,0.27262366666666665,0.6577963333333334,0.7063803333333336,-1.0,-1.0
2017-09-08 13:46:21,1504878380503,bd47a,1,n2,60.0,5.129644283528889,1.0176426666666665,29.1499996185303,-1,-1,-1,-1,-1,-1,-1,0.272461,0.6578776666666668,0.7061363333333336,-1.0,-1.0
2017-09-08 13:46:22,1504878381502,bd47a,1,n2,60.0,5.03460860195026,1.0176426666666665,29.223333358764663,-1,-1,-1,-1,-1,-1,-1,0.27262366666666665,0.658203,0.7058920000000001,-1.0,-1.0
2017-09-08 13:46:23,1504878382499,bd47a,1,n2,60.0,4.9433298698948285,1.006581333333333,29.296667098999027,-1,-1,-1,-1,-1,-1,-1,0.2723796666666667,0.6586099999999999,0.705485,-1.0,-1.0
2017-09-08 13:46:24,1504878383488,bd47a,1,n2,59.666666666666664,4.87085209641203,1.023173333333333,29.370000839233395,-1,-1,-1,-1,-1,-1,-1,0.2726643333333334,0.6588136666666665,0.7051593333333334,-1.0,-1.0
