,task_id,client_id,task,level,time_on_task,time_start,time_end,num_correct,num_incorrect,num_all_correct,TLX_mean,finished,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,date_time_end,client_id,age,sex_male,hand_right,education,n2_correct,n2_incorrect,n2_all_correct,n2_time_start,n3_correct,n3_incorrect,n3_all_correct,n3_time_start,sincerity,fairness,greed_avoidance,modesty,fearfulness,anxiety,dependence,sentimentality,social_self_esteem,social_boldness,sociability,liveliness,forgiveness,gentleness,flexibility,patience,organization,diligence,perfectionism,prudence,aesthetic_appreciation,inquisitiveness,creativity,unconventionality,honesty,emotionality,extraversion,agreeableness,conscientiousness,openness,opacity_median,opacity_std,n2_meta,n3_meta
1,389,3caqi,HP,2,145606,1.50765E+12,1.50765E+12,19,1,21,14,TRUE,3,3,2,2,3,1,43:12.9,3caqi,24,TRUE,TRUE,2,12,1,14,1507644639,10,6,16,1507644956,2.33333,3.66667,3.5,3.5,1,2.5,4.5,3.66667,5,2,2,5,4,4.33333,3,2.5,2,3.5,2.66667,2,1,2.5,1,2.66667,3.25,2.91667,3.5,3.45833,2.54167,1.79167,0.094117647,0.059127754,0.857142857,0.625
2,390,3caqi,HP,0,68349,1.50765E+12,1.50765E+12,20,0,21,6,TRUE,1,1,1,1,1,1,45:39.7,3caqi,24,TRUE,TRUE,2,12,1,14,1507644639,10,6,16,1507644956,2.33333,3.66667,3.5,3.5,1,2.5,4.5,3.66667,5,2,2,5,4,4.33333,3,2.5,2,3.5,2.66667,2,1,2.5,1,2.66667,3.25,2.91667,3.5,3.45833,2.54167,1.79167,0.129411765,0.044827263,0.857142857,0.625
3,391,3caqi,HP,1,91599,1.50765E+12,1.50765E+12,20,1,21,12,TRUE,3,2,2,1,2,2,47:54.9,3caqi,24,TRUE,TRUE,2,12,1,14,1507644639,10,6,16,1507644956,2.33333,3.66667,3.5,3.5,1,2.5,4.5,3.66667,5,2,2,5,4,4.33333,3,2.5,2,3.5,2.66667,2,1,2.5,1,2.66667,3.25,2.91667,3.5,3.45833,2.54167,1.79167,0.149019608,0.082818479,0.857142857,0.625
4,392,3caqi,FA,2,61526,1.50765E+12,1.50765E+12,10,0,10,14,TRUE,3,2,2,2,2,3,50:46.9,3caqi,24,TRUE,TRUE,2,12,1,14,1507644639,10,6,16,1507644956,2.33333,3.66667,3.5,3.5,1,2.5,4.5,3.66667,5,2,2,5,4,4.33333,3,2.5,2,3.5,2.66667,2,1,2.5,1,2.66667,3.25,2.91667,3.5,3.45833,2.54167,1.79167,0.11372549,0.237235996,0.857142857,0.625
5,393,3caqi,FA,1,181893,1.50765E+12,1.50765E+12,7,1,10,25,FALSE,4,5,5,3,4,4,54:43.7,3caqi,24,TRUE,TRUE,2,12,1,14,1507644639,10,6,16,1507644956,2.33333,3.66667,3.5,3.5,1,2.5,4.5,3.66667,5,2,2,5,4,4.33333,3,2.5,2,3.5,2.66667,2,1,2.5,1,2.66667,3.25,2.91667,3.5,3.45833,2.54167,1.79167,0.078431373,0.044387869,0.857142857,0.625
6,394,3caqi,FA,0,45712,1.50765E+12,1.50765E+12,10,0,10,6,TRUE,1,1,1,1,1,1,56:17.7,3caqi,24,TRUE,TRUE,2,12,1,14,1507644639,10,6,16,1507644956,2.33333,3.66667,3.5,3.5,1,2.5,4.5,3.66667,5,2,2,5,4,4.33333,3,2.5,2,3.5,2.66667,2,1,2.5,1,2.66667,3.25,2.91667,3.5,3.45833,2.54167,1.79167,0.054901961,0.033090232,0.857142857,0.625
7,395,3caqi,GC,1,97602,1.50765E+12,1.50765E+12,0,0,5,17,TRUE,3,2,2,3,3,4,59:28.3,3caqi,24,TRUE,TRUE,2,12,1,14,1507644639,10,6,16,1507644956,2.33333,3.66667,3.5,3.5,1,2.5,4.5,3.66667,5,2,2,5,4,4.33333,3,2.5,2,3.5,2.66667,2,1,2.5,1,2.66667,3.25,2.91667,3.5,3.45833,2.54167,1.79167,0.054901961,0.029305994,0.857142857,0.625
8,396,3caqi,GC,2,85834,1.50765E+12,1.50765E+12,0,0,5,19,TRUE,4,3,2,4,3,3,01:39.0,3caqi,24,TRUE,TRUE,2,12,1,14,1507644639,10,6,16,1507644956,2.33333,3.66667,3.5,3.5,1,2.5,4.5,3.66667,5,2,2,5,4,4.33333,3,2.5,2,3.5,2.66667,2,1,2.5,1,2.66667,3.25,2.91667,3.5,3.45833,2.54167,1.79167,0.062745098,0.056026455,0.857142857,0.625
9,397,3caqi,GC,0,39431,1.50765E+12,1.50765E+12,0,0,5,11,TRUE,2,2,2,1,2,2,03:06.2,3caqi,24,TRUE,TRUE,2,12,1,14,1507644639,10,6,16,1507644956,2.33333,3.66667,3.5,3.5,1,2.5,4.5,3.66667,5,2,2,5,4,4.33333,3,2.5,2,3.5,2.66667,2,1,2.5,1,2.66667,3.25,2.91667,3.5,3.45833,2.54167,1.79167,0.066666667,0.025110291,0.857142857,0.625
10,398,3caqi,NC,0,59670,1.50765E+12,1.50765E+12,11,0,11,16,TRUE,3,3,2,2,3,3,05:41.4,3caqi,24,TRUE,TRUE,2,12,1,14,1507644639,10,6,16,1507644956,2.33333,3.66667,3.5,3.5,1,2.5,4.5,3.66667,5,2,2,5,4,4.33333,3,2.5,2,3.5,2.66667,2,1,2.5,1,2.66667,3.25,2.91667,3.5,3.45833,2.54167,1.79167,0.058823529,0.041062935,0.857142857,0.625
11,399,3caqi,NC,2,173818,1.50765E+12,1.50765E+12,4,0,4,21,TRUE,4,4,4,2,4,3,09:28.6,3caqi,24,TRUE,TRUE,2,12,1,14,1507644639,10,6,16,1507644956,2.33333,3.66667,3.5,3.5,1,2.5,4.5,3.66667,5,2,2,5,4,4.33333,3,2.5,2,3.5,2.66667,2,1,2.5,1,2.66667,3.25,2.91667,3.5,3.45833,2.54167,1.79167,0.070588235,0.037061269,0.857142857,0.625
