,datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,points,subjective_diff,subjective_fun,click_per_second
0,2019-06-27 08:48:00.994,1561625280994,0dah3,2,snake,84,4.385964912280702,0.7023946666666667,34.07,15,0,18,8,15,0,1400,16,14,1.6
1,2019-06-27 08:55:27.592,1561625727592,0dah3,0,snake,84,4.065040650406504,0.7134560000000002,34.15,2,0,2,6,1,0,400,1,1,1.0
2,2019-06-04 08:15:20.696,1559636120696,3190o,0,snake,79,0.1444669170759896,0.7466399999999999,30.86,2,0,5,19,7,0,2900,2,10,0.8
3,2019-06-04 08:23:28.186,1559636608186,3190o,2,snake,90,0.2319109461966604,0.6581493333333333,33.23,14,0,19,7,14,5,900,15,13,1.0
4,2019-06-27 08:14:09.502,1561623249502,bos1y,0,snake,80,4.166666666666667,0.721752,34.21,2,0,2,6,3,2,400,2,4,0.6
5,2019-06-27 08:22:22.047,1561623742047,bos1y,2,snake,86,4.149377593360996,0.701012,34.88,14,0,13,13,17,0,1100,16,13,2.0
6,2019-06-04 08:55:52.125,1559638552125,deztl,0,snake,77,0.5184033177812338,0.813008,33.68,2,0,3,10,1,0,1900,1,4,1.2
7,2019-06-04 09:04:01.682,1559639041682,deztl,2,snake,74,0.6002400960384153,0.7964160000000001,34.08,13,0,20,13,19,0,1100,16,8,1.4
8,2019-06-27 08:33:14.768,1561624394768,hu32w,0,snake,80,5.494505494505495,0.7079253333333334,33.82,1,0,1,8,1,0,0,1,5,0.4
9,2019-06-27 08:41:05.284,1561624865284,hu32w,2,snake,87,4.3478260869565215,0.688568,34.38,16,0,20,11,18,0,700,14,12,1.8
10,2019-06-27 08:59:35.515,1561625975515,kru08,0,snake,85,3.90625,0.6858026666666666,34.05,2,0,2,8,2,0,400,1,2,0.8
11,2019-06-27 09:06:58.994,1561626418994,kru08,2,snake,91,3.5587188612099645,0.6636799999999999,34.13,16,0,18,15,18,1,700,17,13,1.8
12,2019-06-27 09:30:40.181,1561627840181,la3bh,2,snake,90,3.636363636363636,0.6858026666666666,33.31,18,0,20,2,18,5,500,17,5,1.6
13,2019-06-27 09:37:40.579,1561628260579,la3bh,0,snake,91,3.355704697986577,0.7245173333333333,33.39,2,0,3,7,2,0,1000,5,4,1.4
14,2019-06-03 20:28:08.763,1559593688763,m8rvq,2,snake,85,8.474576271186441,0.701012,34.61,13,0,20,5,18,13,900,17,7,1.0
15,2019-06-03 20:35:14.259,1559594114259,m8rvq,0,snake,78,8.849557522123893,0.8406613333333333,34.72,0,0,1,13,5,1,300,1,4,0.6
16,2019-06-03 20:15:58.075,1559592958075,o9m76,0,snake,83,4.310344827586207,0.74664,34.41,2,0,2,13,1,0,2600,1,4,0.2
17,2019-06-03 20:23:47.556,1559593427556,o9m76,2,snake,82,7.352941176470588,0.7023946666666667,34.71,10,0,20,6,15,10,400,16,3,1.2
18,2019-06-06 13:45:23.837,1559828723837,ptoj6,0,snake,83,3.0395136778115504,0.721752,33.97,2,0,3,18,5,1,3400,2,15,0.6
19,2019-06-06 13:54:30.502,1559829270502,ptoj6,2,snake,86,4.975124378109452,0.676124,34.77,14,0,20,12,16,6,900,14,7,1.8
20,2019-06-03 20:03:52.415,1559592232415,wymuo,0,snake,75,0.8539709649871904,0.8019466666666667,32.84,2,0,5,14,2,3,2600,4,7,1.4
21,2019-06-03 20:10:50.899,1559592650899,wymuo,2,snake,87,1.1655011655011656,0.688568,34.28,3,0,18,13,9,0,1300,13,10,1.0
22,2019-06-27 09:11:02.521,1561626662521,xrxbc,0,snake,84,3.571428571428572,0.7798240000000001,33.94,2,0,4,13,9,0,1300,3,5,0.6
23,2019-06-27 09:19:06.093,1561627146093,xrxbc,2,snake,87,3.484320557491289,0.6747413333333333,33.93,14,0,17,5,17,5,0,15,12,1.6
