datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mean,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,band_ax,band_ay,band_az,opacity_median,opacity_std
2017-08-21 14:20:26,1503325225593,e4gay,0,quest,0.0,,0.0,10.253333409627267,-1,-1,-1,-1,-1,-1,-1,0.07869466666666666,0.31331366666666666,0.06730133333333334,-1.0,-1.0
2017-08-21 14:20:27,1503325226490,e4gay,0,quest,25.333333333333332,,0.2599413333333333,20.506666819254534,-1,-1,-1,-1,-1,-1,-1,0.15681966666666666,0.6275226666666667,0.13598633333333332,-1.0,-1.0
2017-08-21 14:20:28,1503325227492,e4gay,0,quest,50.666666666666664,4.069463759993344,0.5254133333333333,30.760000228881797,-1,-1,-1,-1,-1,-1,-1,0.23722333333333334,0.9417316666666666,0.20678699999999997,-1.0,-1.0
2017-08-21 14:20:29,1503325228501,e4gay,0,quest,76.0,3.9480409049004828,0.5530666666666666,30.760000228881797,-1,-1,-1,-1,-1,-1,-1,0.24121100000000004,0.9411213333333333,0.2126463333333333,-1.0,-1.0
2017-08-21 14:20:30,1503325229498,e4gay,0,quest,76.0,3.8963541062257323,0.40373866666666663,30.760000228881797,-1,-1,-1,-1,-1,-1,-1,0.2445476666666667,0.9412433333333333,0.21549449999999995,-1.0,-1.0
2017-08-21 14:20:31,1503325230501,e4gay,0,quest,76.0,3.8611573563941737,0.27100266666666656,30.760000228881797,-1,-1,-1,-1,-1,-1,-1,0.2439373333333333,0.9404295,0.21675599999999995,-1.0,-1.0
2017-08-21 14:20:32,1503325231498,e4gay,0,quest,76.0,3.836405126218235,0.4866986666666666,30.760000228881797,-1,-1,-1,-1,-1,-1,-1,0.24100766666666662,0.9412028333333334,0.21464033333333324,-1.0,-1.0
2017-08-21 14:20:33,1503325232500,e4gay,0,quest,76.0,3.816830962157379,0.6139039999999999,30.760000228881797,-1,-1,-1,-1,-1,-1,-1,0.2399496666666666,0.9400228333333334,0.21341983333333325,-1.0,-1.0
2017-08-21 14:20:34,1503325233503,e4gay,0,quest,76.0,3.802318016609951,0.7189866666666666,30.760000228881797,-1,-1,-1,-1,-1,-1,-1,0.2391766666666666,0.9390463333333333,0.20947299999999994,-1.0,-1.0
2017-08-21 14:20:35,1503325234502,e4gay,0,quest,76.0,3.7879150207868197,0.7134559999999999,30.796666781107547,-1,-1,-1,-1,-1,-1,-1,0.24149583333333327,0.9386393333333333,0.2078453333333333,-1.0,-1.0
2017-08-21 14:20:36,1503325235509,e4gay,0,quest,76.0,3.7783495330665144,0.7079253333333333,30.869999885559043,-1,-1,-1,-1,-1,-1,-1,0.24011249999999995,0.9495443333333333,0.12117523333333331,-1.0,-1.0
2017-08-21 14:20:37,1503325236510,e4gay,0,quest,77.66666666666667,3.764162721126894,0.813008,30.943332990010543,-1,-1,-1,-1,-1,-1,-1,0.2395428333333333,0.961019,0.04134116666666666,-1.0,-1.0
2017-08-21 14:20:38,1503325237511,e4gay,0,quest,79.33333333333333,3.7547405365934097,0.763232,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.23579933333333328,0.972575,-0.03869628333333334,-1.0,-1.0
2017-08-21 14:20:39,1503325238506,e4gay,0,quest,80.66666666666667,3.7406599959006477,0.7355786666666666,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.23522966666666664,0.9722493333333334,-0.027465816666666667,-1.0,-1.0
2017-08-21 14:20:40,1503325239502,e4gay,0,quest,80.33333333333333,3.731377918200375,0.6249653333333333,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.23860683333333332,0.9719236666666666,-0.019490583333333335,-1.0,-1.0
2017-08-21 14:20:41,1503325240502,e4gay,0,quest,80.33333333333333,3.7175063687483014,0.6692106666666667,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.24125183333333333,0.969645,-0.012695333333333336,-1.0,-1.0
2017-08-21 14:20:42,1503325241494,e4gay,0,quest,80.66666666666667,3.7037375743439394,0.6802720000000001,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.24259449999999996,0.969157,-0.01123046666666667,-1.0,-1.0
2017-08-21 14:20:43,1503325242487,e4gay,0,quest,81.0,3.690070397436001,0.6636800000000002,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.24210616666666662,0.9696453333333334,-0.010986300000000004,-1.0,-1.0
2017-08-21 14:20:44,1503325243483,e4gay,0,quest,84.0,3.680992692279864,0.6636800000000002,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.24145516666666658,0.9708253333333333,-0.01066076666666667,-1.0,-1.0
2017-08-21 14:20:45,1503325244489,e4gay,0,quest,86.16666666666667,3.676470588235294,0.6858026666666667,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.24434416666666658,0.9709066666666667,-0.013020800000000006,-1.0,-1.0
2017-08-21 14:20:46,1503325245496,e4gay,0,quest,88.16666666666667,3.676470588235294,0.7245173333333333,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.24519866666666656,0.9707031666666669,-0.02046710000000001,-1.0,-1.0
2017-08-21 14:20:47,1503325246496,e4gay,0,quest,86.83333333333333,3.6719816131580836,0.7411093333333333,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.2450359999999999,0.9707438333333336,-0.023234033333333338,-1.0,-1.0
2017-08-21 14:20:48,1503325247491,e4gay,0,quest,86.33333333333333,3.6810593183142206,0.763232,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.2439779999999999,0.9707438333333336,-0.022949200000000006,-1.0,-1.0
2017-08-21 14:20:49,1503325248486,e4gay,0,quest,84.0,3.694726495222159,0.7687626666666668,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.24348966666666658,0.9704590000000003,-0.01639810000000001,-1.0,-1.0
2017-08-21 14:20:50,1503325249500,e4gay,0,quest,82.0,3.7128826472073073,0.7411093333333335,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.2459309999999999,0.9699706666666669,-0.01521808333333334,-1.0,-1.0
2017-08-21 14:20:51,1503325250509,e4gay,0,quest,80.0,3.7128826472073073,0.7023946666666668,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.24641916666666655,0.9705403333333336,-0.013305666666666674,-1.0,-1.0
2017-08-21 14:20:52,1503325251515,e4gay,0,quest,80.33333333333333,3.7037375743439394,0.6636800000000002,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.2454019999999999,0.970255666666667,-0.017537433333333338,-1.0,-1.0
2017-08-21 14:20:53,1503325252508,e4gay,0,quest,80.66666666666667,3.690070397436001,0.6913333333333332,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.24340799999999993,0.9711510000000002,-0.01888021666666667,-1.0,-1.0
2017-08-21 14:20:54,1503325253500,e4gay,0,quest,82.0,3.6765037172026536,0.7245173333333333,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.22998049999999992,0.968384,-0.017578120000000003,-1.0,-1.0
2017-08-21 14:20:55,1503325254493,e4gay,0,quest,83.0,3.704353052299778,0.7742933333333332,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.12251789999999994,0.9750976666666668,-0.028401686666666672,-1.0,-1.0
2017-08-21 14:20:56,1503325255486,e4gay,0,quest,83.33333333333333,3.6779036236074383,0.7853546666666666,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,0.031656999999999935,0.9689940000000002,-0.13549798666666665,-1.0,-1.0
2017-08-21 14:20:57,1503325256484,e4gay,0,quest,82.33333333333333,3.647378593082408,0.7798240000000001,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,-0.048339850000000066,0.9650063333333335,-0.24869786666666668,-1.0,-1.0
2017-08-21 14:20:58,1503325257481,e4gay,0,quest,81.33333333333333,3.575756578265603,0.7521706666666668,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,-0.03352865000000006,0.9495443333333334,-0.3465983333333333,-1.0,-1.0
2017-08-21 14:20:59,1503325258485,e4gay,0,quest,81.0,3.567192001355702,0.730048,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,-0.03430176666666673,0.9477540000000001,-0.3529459999999999,-1.0,-1.0
2017-08-21 14:21:00,1503325259492,e4gay,0,quest,81.33333333333333,3.567192001355702,0.7079253333333334,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,-0.035115583333333394,0.9460450000000001,-0.3586426666666666,-1.0,-1.0
2017-08-21 14:21:01,1503325260503,e4gay,0,quest,81.66666666666667,3.567192001355702,0.6913333333333335,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,-0.03413901666666672,0.9468586666666666,-0.3633218333333333,-1.0,-1.0
2017-08-21 14:21:02,1503325261504,e4gay,0,quest,82.0,3.5587489078062258,0.6802720000000001,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,-0.03499350000000006,0.94576,-0.3646239999999999,-1.0,-1.0
2017-08-21 14:21:03,1503325262510,e4gay,0,quest,82.0,3.550305814256749,0.6913333333333335,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,-0.034179666666666726,0.9454343333333334,-0.36673966666666663,-1.0,-1.0
2017-08-21 14:21:04,1503325263507,e4gay,0,quest,82.0,3.546099290780141,0.7023946666666667,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,-0.034790000000000064,0.9448646666666667,-0.36779766666666663,-1.0,-1.0
2017-08-21 14:21:05,1503325264505,e4gay,0,quest,82.66666666666667,3.546099290780141,0.713456,30.97999954223629,-1,-1,-1,-1,-1,-1,-1,-0.03495276666666674,0.9441730000000002,-0.3702391666666667,-1.0,-1.0
2017-08-21 14:21:06,1503325265490,e4gay,0,quest,82.33333333333333,3.541922495384641,0.7355786666666667,31.08333333333329,-1,-1,-1,-1,-1,-1,-1,-0.033772783333333396,0.9436036666666668,-0.3706055,-1.0,-1.0
2017-08-21 14:21:07,1503325266484,e4gay,0,quest,82.0,3.53774569998914,0.7577013333333334,31.18666712443029,-1,-1,-1,-1,-1,-1,-1,-0.0343017833333334,0.9427900000000003,-0.3717856666666666,-1.0,-1.0
2017-08-21 14:21:08,1503325267483,e4gay,0,quest,81.0,3.5294215232502197,0.7742933333333335,31.29000091552729,-1,-1,-1,-1,-1,-1,-1,-0.03283695000000006,0.942627166666667,-0.3730061666666667,-1.0,-1.0
2017-08-21 14:21:09,1503325268491,e4gay,0,quest,80.66666666666667,3.5252741419068,0.7632320000000002,31.29000091552729,-1,-1,-1,-1,-1,-1,-1,-0.04882813333333339,0.9437661666666669,-0.3625488333333334,-1.0,-1.0
2017-08-21 14:21:10,1503325269503,e4gay,0,quest,80.0,3.512919005876752,0.7300480000000001,31.29000091552729,-1,-1,-1,-1,-1,-1,-1,-0.12190746666666673,0.9376625000000002,-0.3480631666666667,-1.0,-1.0
