datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mean,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,band_ax,band_ay,band_az,opacity_median,opacity_std
2017-08-28 14:38:15,1503931094538,f1gjp,0,quest,52.0,,0.2599413333333333,20.6800003051758,-1,-1,-1,-1,-1,-1,-1,-0.18660466666666667,0.2365723333333333,0.9278973333333335,-1.0,-1.0
2017-08-28 14:38:16,1503931095494,f1gjp,0,quest,78.0,9.203671803345989,0.5198826666666666,31.0200004577637,-1,-1,-1,-1,-1,-1,-1,-0.160726,0.25292966666666666,0.9402670000000001,-1.0,-1.0
2017-08-28 14:38:17,1503931096498,f1gjp,0,quest,78.0,9.11871003614123,0.8074773333333333,31.0200004577637,-1,-1,-1,-1,-1,-1,-1,-0.14880383333333336,0.2638346666666666,0.9381916666666666,-1.0,-1.0
2017-08-28 14:38:18,1503931097496,f1gjp,0,quest,78.0,9.063609063609066,0.7991813333333332,31.0200004577637,-1,-1,-1,-1,-1,-1,-1,-0.14603683333333337,0.2735189999999999,0.9364420000000001,-1.0,-1.0
2017-08-28 14:38:19,1503931098483,f1gjp,0,quest,78.0,9.03630903630904,0.7825893333333331,31.0200004577637,-1,-1,-1,-1,-1,-1,-1,-0.14432783333333335,0.2779136666666666,0.9349770000000003,-1.0,-1.0
2017-08-28 14:38:20,1503931099490,f1gjp,0,quest,78.0,8.982196482196485,0.7328133333333331,31.0200004577637,-1,-1,-1,-1,-1,-1,-1,-0.1382243333333334,0.278402,0.9358313333333337,-1.0,-1.0
2017-08-28 14:38:21,1503931100496,f1gjp,0,quest,78.0,8.95538395538396,0.7687626666666665,31.0200004577637,-1,-1,-1,-1,-1,-1,-1,-0.1317953333333334,0.27416999999999997,0.937906666666667,-1.0,-1.0
2017-08-28 14:38:22,1503931101502,f1gjp,0,quest,78.0,8.928571428571432,0.7687626666666665,31.0200004577637,-1,-1,-1,-1,-1,-1,-1,-0.12618000000000007,0.2694496666666666,0.940022666666667,-1.0,-1.0
2017-08-28 14:38:23,1503931102500,f1gjp,0,quest,78.0,8.92857142857143,0.7687626666666665,31.0200004577637,-1,-1,-1,-1,-1,-1,-1,-0.1250813333333334,0.2665199999999999,0.9409180000000003,-1.0,-1.0
2017-08-28 14:38:24,1503931103504,f1gjp,0,quest,78.0,8.92857142857143,0.7300479999999999,31.0200004577637,-1,-1,-1,-1,-1,-1,-1,-0.12540700000000005,0.26493316666666655,0.9414470000000003,-1.0,-1.0
2017-08-28 14:38:25,1503931104515,f1gjp,0,quest,78.0,8.955383955383956,0.7466399999999999,31.0200004577637,-1,-1,-1,-1,-1,-1,-1,-0.12540700000000005,0.2632241666666666,0.9419353333333337,-1.0,-1.0
2017-08-28 14:38:26,1503931105510,f1gjp,0,quest,78.0,8.98219648219648,0.7742933333333332,31.0200004577637,-1,-1,-1,-1,-1,-1,-1,-0.12512216666666673,0.26110816666666664,0.9425050000000003,-1.0,-1.0
2017-08-28 14:38:27,1503931106506,f1gjp,0,quest,77.66666666666667,9.009009009009006,0.7908853333333331,31.0200004577637,-1,-1,-1,-1,-1,-1,-1,-0.12471516666666671,0.25944,0.9427083333333336,-1.0,-1.0
2017-08-28 14:38:28,1503931107496,f1gjp,0,quest,76.66666666666667,9.009009009009004,0.7908853333333331,31.06666692097983,-1,-1,-1,-1,-1,-1,-1,-0.12463383333333337,0.2581786666666666,0.9427083333333336,-1.0,-1.0
2017-08-28 14:38:29,1503931108502,f1gjp,0,quest,76.66666666666667,8.982196482196477,0.7853546666666663,31.113333384195965,-1,-1,-1,-1,-1,-1,-1,-0.12475600000000005,0.2571206666666666,0.943196666666667,-1.0,-1.0
2017-08-28 14:38:30,1503931109501,f1gjp,0,quest,76.33333333333333,8.95538395538395,0.774293333333333,31.159999847412095,-1,-1,-1,-1,-1,-1,-1,-0.12414566666666671,0.25679499999999994,0.9435223333333337,-1.0,-1.0
2017-08-28 14:38:31,1503931110496,f1gjp,0,quest,76.66666666666667,8.928571428571422,0.7687626666666662,31.159999847412095,-1,-1,-1,-1,-1,-1,-1,-0.12365733333333336,0.2565509999999999,0.9439700000000005,-1.0,-1.0
2017-08-28 14:38:32,1503931111490,f1gjp,0,quest,76.33333333333333,8.928571428571422,0.7577013333333329,31.159999847412095,-1,-1,-1,-1,-1,-1,-1,-0.12300633333333334,0.25679533333333326,0.9438886666666672,-1.0,-1.0
2017-08-28 14:38:33,1503931112499,f1gjp,0,quest,77.0,8.928571428571422,0.7577013333333329,31.159999847412095,-1,-1,-1,-1,-1,-1,-1,-0.12190766666666668,0.25606299999999993,0.9438073333333339,-1.0,-1.0
2017-08-28 14:38:34,1503931113514,f1gjp,0,quest,77.66666666666667,8.928571428571422,0.7577013333333329,31.159999847412095,-1,-1,-1,-1,-1,-1,-1,-0.12129733333333335,0.2552899999999999,0.9439293333333337,-1.0,-1.0
2017-08-28 14:38:35,1503931114526,f1gjp,0,quest,78.0,8.928571428571422,0.7632319999999995,31.159999847412095,-1,-1,-1,-1,-1,-1,-1,-0.12015800000000003,0.25390633333333323,0.9441733333333339,-1.0,-1.0
2017-08-28 14:38:36,1503931115524,f1gjp,0,quest,78.66666666666667,8.955383955383946,0.7687626666666662,31.159999847412095,-1,-1,-1,-1,-1,-1,-1,-0.11950700000000003,0.2526856666666666,0.9447426666666671,-1.0,-1.0
2017-08-28 14:38:37,1503931116513,f1gjp,0,quest,78.33333333333333,9.0094965094965,0.7798239999999995,31.159999847412095,-1,-1,-1,-1,-1,-1,-1,-0.11832700000000003,0.2511393333333333,0.9449866666666672,-1.0,-1.0
2017-08-28 14:38:38,1503931117493,f1gjp,0,quest,77.66666666666667,9.036309036309026,0.7964159999999995,31.159999847412095,-1,-1,-1,-1,-1,-1,-1,-0.11751300000000003,0.24991866666666665,0.9454750000000004,-1.0,-1.0
2017-08-28 14:38:39,1503931118488,f1gjp,0,quest,76.33333333333333,9.009496509496499,0.8074773333333328,31.159999847412095,-1,-1,-1,-1,-1,-1,-1,-0.1164956666666667,0.248291,0.9459633333333337,-1.0,-1.0
2017-08-28 14:38:40,1503931119486,f1gjp,0,quest,75.66666666666667,8.955383955383944,0.8130079999999994,31.159999847412095,-1,-1,-1,-1,-1,-1,-1,-0.11555966666666669,0.24707033333333336,0.9463703333333338,-1.0,-1.0
2017-08-28 14:38:41,1503931120486,f1gjp,0,quest,75.33333333333333,8.955383955383946,0.801946666666666,31.159999847412095,-1,-1,-1,-1,-1,-1,-1,-0.11564100000000004,0.24633800000000003,0.946451666666667,-1.0,-1.0
2017-08-28 14:38:42,1503931121486,f1gjp,0,quest,75.0,8.982196482196471,0.7908853333333328,31.159999847412095,-1,-1,-1,-1,-1,-1,-1,-0.11617000000000004,0.24617533333333333,0.9463703333333338,-1.0,-1.0
2017-08-28 14:38:43,1503931122496,f1gjp,0,quest,75.0,9.009009009008997,0.7742933333333327,31.159999847412095,-1,-1,-1,-1,-1,-1,-1,-0.11645500000000003,0.246582,0.9466143333333337,-1.0,-1.0
